Size,Iterations
1,0
2,1
3,3
4,5
5,7
6,14
7,17
8,28
9,32
10,36
11,54
12,55
13,66
14,91
15,98
16,115
17,120
18,133
19,140
20,155
21,210
22,223
23,246
24,248
25,282
26,291
27,345
28,354
29,387
30,411
31,413
32,490
33,496
34,542
35,559
36,588
37,605
38,630
39,643
40,648
41,649
42,667
43,679
44,772
45,793
46,812
47,827
48,1073
49,1140
50,1157
51,1274
52,1279
53,1362
54,1369
55,1428
56,1441
57,1498
58,1582
59,1666
60,1749
61,1815
62,1841
63,1938
64,1992
65,2010
66,2013
67,2042
68,2047
69,2051
70,2232
71,2457
72,2518
73,2540
74,2686
75,2719
76,2724
77,2767
78,2842
79,2857
80,2884
81,2914
82,2942
83,3397
84,3430
85,3533
86,3542
87,3551
88,3581
89,3721
90,3803
91,4080
92,4147
93,4173
94,4320
95,4429
96,4484
97,4569
98,4648
99,4684
100,4839
